,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,filter_level,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,timestamp_ms,truncated,user
88,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @GlendaJazzey: Donald Trump’s Campaign Fina...,,,
89,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",Trump who prides himself on the ability to spo...,,,
90,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",Judicial Watch: Obama Administration Withholds...,,,
91,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",I don't understand how anyone can support a ha...,,,
92,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://www.myplume.com/""",RT @TUSK81: LOUDER FOR THE PEOPLE IN THE BACK ...,,,
93,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @loopzoop: Well...put it back https://t.co/...,,,
94,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",Donald Trump: Victim. https://t.co/qvK17ZnUTZ,,,
95,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @claytoncubitt: Stop asking Bernie supporte...,,,
96,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",Kasich is gonna fuck this up for Ted Cruz  htt...,,,
97,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @akaMaude13: Seriously can't make this up. ...,,,
98,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",Kasich is gonna fuck this up for Ted Cruz  htt...,,,
99,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",@marklevinshow try reporting this truth. https...,,,
